BEN,CH4,CO,EBE,NMHC,NO,NO_2,NOx,O_3,PM10,PM25,SO_2,TCH,TOL
,,2.0,,,409.0,152.0,773.0,,,,18.0,,
6.599999904632568,3.920000076293945,2.0,7.400000095367432,0.4900000095367431,431.0,184.0,844.0,113.0,49.0,40.0,22.0,4.119999885559082,26.700000762939453
8.399999618530273,,,4.599999904632568,,590.0,238.0,1142.0,,,,,,34.79999923706055
,,2.400000095367432,,,310.0,158.0,616.0,117.0,,,,,
,,,,,486.0,181.0,879.0,133.0,,,20.0,,
6.300000190734863,,2.0999999046325684,14.899999618530272,,350.0,185.0,714.0,119.0,318.0,,25.0,,49.20000076293945
3.299999952316284,3.3299999237060547,0.800000011920929,6.300000190734863,0.2399999946355819,162.0,130.0,361.0,129.0,77.0,42.0,14.0,3.470000028610229,14.800000190734863
,,,,,308.0,169.0,640.0,119.0,,,,,
,,1.399999976158142,,,311.0,118.0,566.0,80.0,,,19.0,,
,,2.0,,,393.0,173.0,775.0,,81.0,,85.0,,
6.599999904632568,,,5.199999809265137,,553.0,201.0,1049.0,,66.0,47.0,23.0,,31.799999237060547
,,3.200000047683716,,,774.0,235.0,1422.0,117.0,,,,,
,,,,,318.0,149.0,630.0,,80.0,,28.0,,
,,,,,359.0,166.0,711.0,,74.0,51.0,,,
,,,,,368.0,156.0,721.0,,56.0,56.0,,,
,,,,,428.0,147.0,803.0,116.0,,,,,
,,,,,357.0,181.0,728.0,,82.0,41.0,,,
,,,,,526.0,193.0,996.0,110.0,,,,,
7.5,2.4200000762939453,,3.700000047683716,0.3400000035762787,383.0,178.0,765.0,,93.0,,,2.4800000190734863,78.9000015258789
,,2.5,,,693.0,276.0,1338.0,116.0,150.0,89.0,,,
,,1.7000000476837158,,,402.0,184.0,800.0,,90.0,,24.0,,
,,,,,108.0,91.0,251.0,132.0,,,,,
,,,,,282.0,143.0,566.0,123.0,,,,,
,,,,,281.0,146.0,540.0,126.0,115.0,,,,
